unique_words/months,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Grand Total
0,154,155,97,98,115,94,59,28,19,19,20,7,,2,,9,1,15,,1,1,,11,905
1,38,44,36,47,66,66,22,8,21,10,11,3,1,1,,3,,1,,,,,,378
2,22,22,31,32,60,46,32,9,21,13,14,,2,1,,2,,1,1,,1,,,310
3,10,19,27,23,53,77,21,7,28,15,14,2,4,2,2,7,1,,,,,,,312
4,5,18,18,28,42,56,27,5,18,15,10,3,2,1,2,2,2,2,,,,,,256
5,5,10,10,21,40,64,19,8,29,20,6,5,3,,1,6,2,,1,,,,,250
6,3,5,9,13,40,41,20,7,32,20,10,8,4,1,3,3,5,,,1,,,,225
7,3,2,10,14,20,43,17,10,33,12,15,7,2,,2,1,1,1,3,,,,,196
8,,3,8,10,15,36,13,4,41,13,17,4,3,3,3,2,2,1,1,,,1,,180
9,2,4,1,14,14,22,15,4,42,14,13,3,5,1,1,1,3,,1,,,1,,161
10,1,1,3,4,15,33,17,3,34,20,14,10,5,1,,1,3,,,1,,,,166
11,1,1,4,8,11,30,10,3,37,12,23,8,4,4,5,,3,,,,,1,,165
12,,4,1,5,17,34,12,5,35,7,9,10,5,2,1,3,3,1,,,1,1,,156
13,1,1,1,4,5,28,10,6,31,17,11,1,3,3,3,2,4,,,,,,1,132
14,,1,2,6,11,28,7,5,30,11,14,9,6,3,,,2,1,,,1,,,137
15,,,3,2,6,23,12,4,31,15,13,3,2,1,3,2,1,,,,1,,1,123
16,,,1,3,8,21,12,5,24,20,16,11,3,2,,,1,,1,,,,,128
17,,,1,,4,24,7,3,41,18,17,7,7,1,2,,1,,1,,2,,4,140
18,1,,,2,6,20,10,8,35,18,7,10,7,2,2,,,3,,,1,,1,133
19,,1,1,2,1,19,4,3,19,7,17,7,9,3,2,2,2,,1,,,,,100
20,,,,2,4,11,3,8,27,12,15,5,5,8,2,2,,,,,1,1,,106
21,1,,,1,2,9,5,5,36,18,24,10,5,1,3,2,2,,1,,,,,125
22,,,1,1,3,19,2,3,28,9,12,11,5,1,3,1,1,,,,1,,,101
23,,,,,2,12,6,2,30,6,16,7,7,,1,4,4,3,2,,,,1,103
24,1,,,,2,11,3,2,27,4,15,2,4,5,2,3,1,1,1,,1,,2,87
25,,,2,,3,5,1,6,24,9,17,8,8,4,3,3,4,2,1,,,,3,103
26,,,,1,2,6,4,5,37,11,8,12,2,2,2,,2,3,,1,1,2,1,102
27,,,1,3,3,9,3,1,35,12,8,9,1,,1,2,1,1,2,,1,,1,94
28,,,,,1,11,1,1,18,10,15,5,4,,1,3,3,,1,,1,,1,76
